Asin,Title,Price,Sold by,Review Count,Rating,Date
B09XN86NH2,"ASUS Touchscreen Chromebook Flip C433TA 14-inch Full HD Laptop (Intel Core M3-8100Y, 8GB RAM, 64GB eMMC, Google Chrome OS, 360-Degree Hinge)",299,Amazon,300,4.5,15 Mar. 2022
B09MLBQQZ5,"14'' Laptop Computer Intel Core i5-8279U Processor (up to 4.1 GHz) 8GB DDR4 RAM 256GB SSD, FHD (1920 x 1080) Display Windows 10 Home Notebook with WiFi Bluetooth 5.1 English Keyboard Thin & Portable",379.99,OakTech,20,3.5,26 Nov. 2021
B08T9G5CPD,"Razer Blade Pro 17 - 17.3 Inch Pro Gaming Laptop with 360 Hz FHD Display (Intel Core i7, NVIDIA RTX 3070, 16 GB RAM, 512 GB SSD, Chroma RGB) UK Layout | Black",1509.92,Amazon,41,4,26 Jan. 2021
B09GY936QD,"Samsung Galaxy Book Go 14 Inch with Windows 11 Home LTE Laptop 4GB RAM 128GB Storage, 12 Month M365 Personal included, Mystic Silver (UK Version)",269,Amazon,22,4.4,22 Dec. 2021
B08CN556LT,Lenovo IdeaPad 3i 17IML05 17.3 HD+ Laptop Intel Pentium Gold 6405U 4GB RAM 128GB SSD Windows 10 S Abyss Blue,429.52,Amazon,1,4,5 Oct. 2021
B09JZFDZBL,"Acer Aspire Vero AV15-51 15.6 inch Laptop - (Intel Core i7-1195G7, 16GB, 1TB SSD, Full HD Display, Windows 11, Grey, 30% PCR Chassis)",823.19,Amazon,72,4.6,21 Oct. 2021
B083DQPPT3,"CHUWI Herobook Pro Laptop, 14 inch 8GB RAM 256GB SSD(TF 512GB), FHD(1920x1080) 16:9 IPS Windows 11 Laptops, Intel N4020(Up to 2.8GHz), 4K Video, WiFi, BT4.0, Mini-HDMI Support Win11",199,"BIG FAN TRADING CO., LTD",758,3.9,6 Jan. 2021
B09MFBWCJ6,"HOARDER Windows 10 Laptop 15.6 Inch Computer,8GB RAM,256GB SSD,Ulra High Definition,Dual Band Wifi,Grey Backlit Keyboard,Celeron N5205,Battery Capacity 5000mAH",369,TOPOSH Official Store,2,5,23 Nov. 2021
B09GKNC8Q9,"ASUS Vivobook Pro OLED M3401QA 14 Inch 2.8K 16:10 Laptop (AMD Ryzen 5-5600H, 16 GB RAM, 512 GB SSD, Backlit Keyboard, Windows 11), Queit Black",799.07,Amazon,30,3.9,17 Sept. 2021
B0B6G1VX3G,"Dell XPS 17 9720 17 FHD+ Laptop, Intel Core i7-12700H, 16GB RAM, 512GB SSD, NVIDIA GeForce RTX 3050 4GB, Backlit Keyboard, Fingerprint Reader, Windows 11 Home (Silver)",1849,Amazon,2,5,13-Jul-22
B0B4T3FNQZ,"MSI Notebook Pulse GL76 Gaming Laptop (12UGK-091UK), Intel Core i9-12900H, 17.3 Inches FHD 360Hz Panel, NVIDIA GeForce RTX 3070, 16GB, 1TB SSD, Windows 11, Titanium Blue",1599,Amazon,0,0,21 Jun. 2022
B07G75D4DX,"LincPlus P1 13.3 Laptop with Windows 10 S(upgradable to Win11 ), Full HD IPS Notebook Intel Celeron N4020 4GB RAM 64GB eMMC Storage Fanless Quiet Slim Netbook with QWERTY UK",239,LincPlus,404,4,5 Aug. 2018
B09BCB18JR,"jumper Laptop 13.3 Inch Full HD 1920 x 1080 IPS Display PC Computer 6GB RAM 64GB eMMC Intel Celeron CPU,Windows 10 laptop,Dual Band WIFI,Supports 256GB TF Card and 1TB SSD Expansion",229.99,Amazon,27,3.9,28-Jul-21
B09XMKHDF8,"ASUS TUF A17 FA707RR 17.3 144Hz Gaming Laptop (AMD Ryzen 7-6800H, Nvidia GeForce RTX 3070, 16GB RAM, 1TB SSD, Windows 11), Grey",1296.09,Amazon,33,4.3,11-Apr-22
B09GKKN2TC,"ASUS Vivobook Pro 15 M3500QC 15.6-inch Full HD OLED Laptop (AMD Ryzen 9-5900HX, Nvidia GeForce RTX 3050, 16 GB RAM, 1TB SSD, Backlit Keyboard, Windows 11), Queit Blue",965.99,Amazon,66,4.5,17 Sept. 2021
B0BNPCH4CY,"BYYBUO 14,1 inch HD+ laptop, 4 GB RAM, 128 GB SSD, BT 4.0, Windows 10, zilver (Gold)",206,byybuo,0,0,1 Dec. 2022
B086MBTRM5,TOPOSH Laptop Windows 10 Computer 11.6 Inch PC Notebook 12GB RAM+128GB SSD Celeron J3455 Quad Core 1.5GHz Processor Graphics with TF Card Slot WIFI Bluetooth- White,219,TOPOSH Store,30,3.2,18 Mar. 2021
B09Q6CVSW3,"Razer Blade 17 - 17.3 Inch Gaming Laptop with 4K 144 Hz UHD Display (NVIDIA RTX 3080 Ti, Intel Core i9 12900H, 32GB DDR5 RAM, 1TB SSD, Vapor Chamber Cooling, Windows 11) UK Layout | Black",3757.46,Amazon,11,4.2,25 Jan. 2022
B09SHD5K5V,"ASUS ROG Strix G15 G513RW 165Hz QHD 15.6 Gaming Laptop (AMD Ryzen 9-6900HX, NVIDIA GeForce RTX 3070 Ti, 16GB RAM, 1TB SSD, Windows 11), Gray",1649,Amazon,6,4.6,15 Feb. 2022
B0BJM163KW,"HP 17-cn0041na FHD Laptop - Intel Pentium Gold 7505 (2 Cores, 3.5GHz), 16GB DDR4, 1TB SSD, WIFI 5 & Bluetooth 4.2, Intel UHD Graphics, FREE Upgrade to Windows 11 Pro  UK Keyboard layout (Renewed)",799.99,Cybist,0,0,18 Oct. 2022
B09FJS8W2J,"Dell Precision 5540 15.6 2TB SSD Laptop - i9-9880H (8 Cores, 4.8GHz), NVIDIA Quadro T2000, 64GB RAM, Fingerprint & SD Card Reader, vPro, WIFI 5 & BT 5, Windows 11 Pro, Backlit Keys (Renewed)",2499.99,Amazon,0,0,10 Oct. 2022
B09GY7P1DV,Samsung Galaxy Book Go 14 Inch with Windows 11 Home LTE Laptop 8GB RAM 128GB Storage Mystic Silver (UK Version),499,Amazon,2,5,22 Dec. 2021
B09S7G1JLC,"Microsoft Surface Laptop 4 Super-Thin 15 Inch Touchscreen Laptop (Platinum) AMD Ryzen 7 with Radeon Graphics (Microsoft Surface Edition) 8GB RAM, 256GB SSD, Windows 11 Home, 2022 Model",974.48,Amazon,26,4.1,15-Apr-22
B09SJ44LKY,"Lenovo 500e G2 11.6 N4120 8GB 64GB Chrome 1Yr, Black",411.67,Amazon,2,5,15 Feb. 2022
B09W2G51HL,"Azeyou 11.6 Inch Laptop HD Display - Windows 10 Notebook Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC Storage- Blue",189.99,Azeyou Global,6,3.8,9 Aug. 2022
B0BNHV9R92,"EYETOO Portable Monitor, 15.6'' 19201080 FHD HD IPS Upgrade Eye Care Laptop Monitor with HDMI/Type-C/USB-C, Monitor Screen for Laptop/Xbox/Phone/PC/Mac/PS4/PS5",109.99,ZZBDMYSJAL,3,5,3 Jan. 2023
